countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PF,French Polynesia,112456,Bora Bora,1001787,Pension Alice Et Raphael Bora Bora,TwoStar,Motu Omei BP 138098730 Bora BoraFrench Polynesia ,,"Stop at Pension Alice et Raphael Bora Bora to discover the wonders of Bora Bora Island. Both business travelers and tourists can enjoy the hotel's facilities and services. 24-hour front desk, express check-in/check-out, luggage storage, airport transfer, family room are just some of the facilities on offer. Each guestroom is elegantly furnished and equipped with handy amenities. To enhance guests' stay, the hotel offers recreational facilities such as private beach, diving, fishing, children's playground, garden. Pension Alice et Raphael Bora Bora is an excellent choice from which to explore Bora Bora Island or to simply relax and rejuvenate.",,24-hour front desk airport transfer BBQ facilities bicycle rental Car hire concierge express check-in/check-out family room Laundry service Library Luggage storage shared lounge/TV area Shuttle service Smoking area tours,-16.45017481|-151.73683404,(+689) 87 70 37 10,98730,http://pensionaliceetraphaelborabora.com/index.php/en/welcome-en/12-welcome-en/bungalow-en/7-bungalow-en
PF,French Polynesia,112456,Bora Bora,1017311,Club Med Bora Bora,ThreeStar,BP 34 BORA BORA ,,This comfortable hotel is located in Matira. No pets are allowed on the premises.,+689604611,Hotel,-16.5287|-151.7292,1379209215,98730,
PF,French Polynesia,112456,Bora Bora,1020191,Conrad Bora Bora Nui,FiveStar,Bp 502 Vaitape 98730 VaitapeBora Bora ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Nui Beach - 0.1 km / 0.1 mi <br /> Matira Beach - 1 km / 0.6 mi <br /> Leopard Rays Trench - 1.8 km / 1.1 mi <br /> Motu Piti - 2.4 km / 1.5 mi <br /> Matira Point - 2.4 km / 1.5 mi <br /> Sofitel Resort Beach - 2.7 km / 1.7 mi <br /> Coral Gardens - 3.4 km / 2.1 mi <br /> Mt. Otemanu - 4.3 km / 2.7 mi <br /> Arc En Ciel Bora-Bora - 4.3 km / 2.7 mi <br /> Pearl Resort Beach - 0.1 km / 0.1 mi <br /> Moti Piti Aau Beach - 0.1 km / 0.1 mi <br /> White Valley - 1.4 km / 0.9 mi <br /> Mt. Hue - 4.3 km / 2.7 mi <br /> Vaitape Harbor - 5.1 km / 3.2 mi <br /> Mt. Pahia - 5.7 km / 3.6 mi <br /> </p><p>The nearest airports are:<br />Motu Mute Airport (BOB) - 1.4 km / 0.9 mi<br /> Raiatea (RFP-Uturoa) - 2.5 km / 1.5 mi<br /> </p><p>The preferred airport for Conrad Bora Bora Nui is Motu Mute Airport (BOB). </p>,"<p>HeadLine : Near Nui Beach</p><p>Location : When you stay at Conrad Bora Bora Nui in Bora Bora, you ll be on the waterfront, within a 5-minute drive of Matira Beach and Motu Piti.  This 5-star resort is 1.5 mi (2.4 km) from Matira Point and 2.1 mi (3.4 km) from Coral Gardens.</p><p>Rooms : Make yourself at home in one of the 114 guestrooms featuring iPod docking stations and LED televisions. Rooms have private balconies or patios. Complimentary wired and wireless Internet access is available. Private bathrooms with separate bathtubs and showers feature rainfall showerheads and complimentary toiletries.</p><p>Dining : Enjoy French cuisine at Iriatai French Restaurant, one of the resort s 3 restaurants, or stay in and take advantage of the 24-hour room service. Unwind at the end of the day with a drink at the bar/lounge or the poolside bar. Buffet breakfasts are available daily from 7 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : Guests must transfer via Boat to the property. Guests must contact the property at least 72 hours before travel, using the contact information on the confirmation received after booking. This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 72 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",689-40-603301,Gift shops or newsstand Dry cleaning/laundry service Beach volleyball on site Shopping on site Proposal/romance packages available Beach yoga on site Babysitting or childcare (surcharge) Outdoor furniture Pool umbrellas Outdoor entertainment area Number of meeting rooms - 1 Water sports equipment Conference space size (meters) - 4158 Free wired Internet Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Number of swim-up bars - 1 Water skiing nearby In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Fitness classes on site Airport transportation (surcharge) On private beach Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Outdoor tennis courts - 1 Multilingual staff Parasailing nearby Electric car charging station Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Laundry facilities elevator Children's club (free) Fitness facilities Snorkeling on site Supervised childcare/activities (free) Canoe on site Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Beach umbrellas Wheelchair-accessible path to elevator Wheelchair-accessible registration desk Wheelchair-accessible public washroom Spa treatment room(s) Helicopter/airplane tours on site Well-lit path to entrance Garden Stair-free path to entrance Free newspapers in lobby Full-service spa Wedding services Beach towels 24-hour fitness facilities Fishing on site Boat tours on site Free bicycles on site Golf driving range on site Yoga classes/instruction on site Private picnics Couples/private dining Luggage storage Porter/bellhop Business center 24-hour front desk Library Playground on site Spa services on site Safe-deposit box at front desk Sauna Steam room Conference space Kayaking on site Free pool cabanas Hair salon Tennis on site Computer station Beach sun loungers Terrace Pool sun loungers Conference space size (feet) - 44756 Concierge services Pilates classes on site,-16.528048|-151.77014,68940603300,98730,http://www1.hilton.com/en_US/hi/hotel/PPTBNHI-Hilton-Bora-Bora-Nui-Resort-Spa/index.do
PF,French Polynesia,112456,Bora Bora,1069540,Bora Bora Beach Resort,ThreeStar,"BP 174, BORA BORA VAITAPE ",,"This hotel is located on a perfect white-sand beach on the Bora Bora lagoon. It lies 15 minutes from Vaitape Pier and approximately 20 minutes from Bora Bora Airport (by private shuttle boat).

This beach establishment comprises a total of 80 bungalow units set amongst a mountainside tropical forest and overlooking manicured gardens. Facilities on offer to guests include a 24-hour reception service, a hairdressing salon, a bar/lounge, a disco and a restaurant. Guests can also take advantage of the WLAN Internet access (for an additional fee), and there is parking available for those arriving by car.

All rooms come with a shower and a hairdryer, as well as satellite/cable TV, Internet access, a safe, a mini fridge and tea and coffee making facilities. Furthermore, individually adjustable air conditioning and either a balcony or a terrace are provided in all accommodation as standard.

The hotel features an outdoor swimming pool and an on-site dive centre (charges apply). Guests can relax with a massage treatment (for an additional fee), and they can also try banana boating or canoeing. Bocce is yet another leisure option on offer.

The hotel offers a restaurant.",,Hotel American Express JCB Diners Club MasterCard Visa Bathroom Shower Hairdryer Mini fridge Individually adjustable air conditioning Safe Balcony Terrace Shop Bar Restaurant Hot tub Massage Banana boating Diving Canoeing Bocce Accor - ALLSAFE,-16.53363991|-151.7349701,,98730,
PF,French Polynesia,112456,Bora Bora,1107728,SOFITEL BORA PRIVATE ISLAND,FiveStar,Bp 516 Nunue Vaitape BP 51698730 NunueBora Bora ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Motu Piti - 0.1 km / 0.1 mi <br /> Coral Gardens - 0.1 km / 0.1 mi <br /> Moti Piti Aau Beach - 1.4 km / 0.9 mi <br /> Leopard Rays Trench - 1.6 km / 1 mi <br /> Matira Beach - 1.7 km / 1.1 mi <br /> Matira Point - 2 km / 1.2 mi <br /> Nui Beach - 3.4 km / 2.1 mi <br /> Le Meridien Beach - 6.7 km / 4.2 mi <br /> Mt. Hue - 6.9 km / 4.3 mi <br /> Mt. Otemanu - 7.2 km / 4.5 mi <br /> Vaitape Harbor - 8.5 km / 5.3 mi <br /> Mt. Pahia - 9.1 km / 5.7 mi <br /> Tupitipiti Point - 9.2 km / 5.7 mi <br /> Pearl Resort Beach - 12.7 km / 7.9 mi <br /> White Valley - 14.4 km / 8.9 mi <br /> </p><p>The preferred airport for Sofitel Bora Bora Private Island is Motu Mute Airport (BOB) - 16.7 km / 10.4 mi </p>,"<p>HeadLine : Near Motu Piti</p><p>Location : When you stay at Sofitel Bora Bora Private Island in Bora Bora, you ll be near the bay, just steps from Motu Piti and Coral Gardens.  This 4.5-star resort is 1.1 mi (1.7 km) from Matira Beach and 1.2 mi (2 km) from Matira Point.</p><p>Rooms : Make yourself at home in one of the 31 guestrooms featuring free minibar items and LCD televisions. Rooms have private balconies. Satellite programming and DVD players are provided for your entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with showers feature rainfall showerheads and designer toiletries.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the resort s 24-hour room service. Wrap up your day with a drink at the bar/lounge. Buffet breakfasts are available daily from 6:30 AM to 10 AM for a fee.</p><p>Renovations : This property is closed from July 23 2021 to December 31 2021 (dates subject to change).   Due to COVID-19, this propertys food and beverage options may be limited.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards; cash is not accepted</li><li>Noise-free guestrooms cannot be guaranteed</li><li>Safety features at this property include a carbon monoxide detector, a fire extinguisher, a smoke detector, a security system, and a first aid kit</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul> <ul>  <li>For safety reasons, minors under the age of 18 must be accompanied by an adult who exercises parental authority while in overwater bungalows.</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Due to COVID-19, this property s food and beverage options may be limited pursuant to local regulations.</p>",689-40-605577,Library Bar/lounge Rooftop terrace Full-service spa 24-hour front desk Beach umbrellas Porter/bellhop Restaurant Express check-out Tours/ticket assistance Beach sun loungers Free WiFi Pool sun loungers Hiking/biking trails nearby Breakfast service Safe-deposit box at front desk On private beach Terrace Luggage storage Wheelchair accessible  no Breakfast available (surcharge) Concierge services Pool umbrellas Beach towels Wedding services Airport transportation (surcharge) Garden Multilingual staff Free newspapers in lobby,-16.539142|-151.727875,+68940605600,98730,http://www.sofitel.com/
PF,French Polynesia,112456,Bora Bora,1120314,InterContinental Bora Bora Resort and Thalasso Spa,FiveStar,Motu Piti Aau 98730 Bora Bora ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Spa Deep Ocean Bora Bora - 0.1 km / 0.1 mi <br /> Moti Piti Aau Beach - 3.6 km / 2.2 mi <br /> Le Meridien Beach - 3.6 km / 2.3 mi <br /> Sofitel Resort Beach - 4.9 km / 3 mi <br /> Matira Beach - 1.4 km / 0.9 mi <br /> Pearl Resort Beach - 1.4 km / 0.9 mi <br /> Nui Beach - 1.4 km / 0.9 mi <br /> Arc En Ciel Bora-Bora - 2.7 km / 1.7 mi <br /> Motu Piti - 4.1 km / 2.6 mi <br /> Coral Gardens - 4.2 km / 2.6 mi <br /> Leopard Rays Trench - 5.8 km / 3.6 mi <br /> Matira Point - 6.2 km / 3.8 mi <br /> Mt. Otemanu - 11.8 km / 7.4 mi <br /> Mt. Hue - 11.8 km / 7.4 mi <br /> Vaitape Harbor - 12.7 km / 7.9 mi <br /> </p><p>The nearest major airport is Raiatea (RFP-Uturoa) - 1.5 km / 0.9 mi</p>,"<p>HeadLine : Near Le Meridien Beach</p><p>Location : With a stay at InterContinental Bora Bora Resort and Thalasso Spa, an IHG Hotel in Bora Bora, you ll be on the waterfront, just steps from Spa Deep Ocean Bora Bora and a 4-minute drive from Motu Piti.  This 5-star hotel is 0.9 mi (1.4 km) from Matira Beach and 3.8 mi (6.2 km) from Matira Point.</p><p>Rooms : Make yourself at home in one of the 80 guestrooms featuring minibars and espresso makers. Your pillowtop bed comes with Egyptian cotton sheets. Rooms have private furnished balconies or patios. 32-inch LCD televisions with cable programming provide entertainment, while complimentary wireless Internet access keeps you connected. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and rainfall showerheads.</p><p>Dining : Enjoy French cuisine at The Reef, one of the hotel s 3 restaurants, or stay in and take advantage of the 24-hour room service. Relax with a refreshing drink at the beach bar, the poolside bar, or one of 3 bars/lounges. Buffet breakfasts are available daily from 7:00 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property ahead of time using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  This property is only accessible from the airport by boat. After booking, guests must contact the property to arrange a roundtrip boat transfer (surcharge). Guests booked in breakfast included rate plans receive breakfast for up to 2 adults who are sharing a guestroom. Breakfast fees apply for additional guests. Guests booked in dinner included rate plans receive dinner for up to 2 adults who are sharing a guestroom. Dinner fees apply for additional guests.</p>",689-40-607697,Breakfast available (surcharge) Turkish bath/Hammam Ecotours nearby Snorkeling on site Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Beach umbrellas Wheelchair-accessible spa Wheelchair-accessible registration desk Wheelchair-accessible pool Wheelchair-accessible public washroom No elevator (single level property) Spa treatment room(s) Helicopter/airplane tours on site Well-lit path to entrance Garden Internet access in public areas - high speed Full-service spa Wedding services Beach towels 24-hour fitness facilities Boat tours nearby Area shuttle (surcharge) Yoga classes/instruction on site Couples/private dining Luggage storage Porter/bellhop Billiards or pool table Personal motorized watercraft on site 24-hour front desk Library Golfing nearby Rowing or canoeing on site Designated smoking areas (fines apply) Hiking/biking trails nearby Kayaking on site Gift shops or newsstand Shopping on site Proposal/romance packages available Babysitting or childcare (surcharge) Pool umbrellas Free WiFi Number of bars/lounges - 3 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 Number of beach bars - 1 In-room accessibility (in select rooms) Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Sailing on site Fitness classes on site Scuba diving on site Airport transportation (surcharge) On private beach LED light bulbs Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Multilingual staff Parasailing nearby Handrails in stairways Water dispenser Concerts/live shows Free pool cabanas Beach sun loungers Terrace ATM/banking Wheelchair accessible path of travel Pool sun loungers Concierge services,-16.505762|-151.70149,689-40-607600,98730,http://www.ichotelsgroup.com/intercontinental/en/gb/locations/overview/bobhb
PF,French Polynesia,112456,Bora Bora,1153700,Bora Bora Lagoon Resort & Spa,FourStar,"MOTU TOOPUA, B.P. 175 VAITAPE ",,"Located in the middle of Bora Bora's majestic lagoon, the resort has eye-catching views of Mount Otemanu. It takes a 15-minute boat ride from Bora Bora airport to the hotel and approximately a 5-minute boat ride to Vaitape, Bora Bora's main village with shops, offices, banks, schools and eating places.

Included in 'The World's Best Place to Stay' Gold list 2008, this club resort provides various types of bungalows, including 6 overwater end of pontoon bungalows, 44 overwater bungalows, 3 1-bedroom Motu suites, 22 Motu bungalows, 1 2-bedroom villa, as well as a range of honeymoon packages. Facilities include a currency exchange, bar, restaurant and Internet access. Guests can also take advantage of the room and laundry services on offer.

Each unit is furnished in authentic local style. Each bungalow offers air conditioning, an en suite bathroom with a shower and a bath, hairdryer, minibar, personal safe, TV, and iron and ironing board. A direct dial telephone and tea and coffee making facilities are also provided.

The hotel offers various types of water sports including waterskiing, jet skiing, diving, motor boating, catamaran boating and canoeing. Day cruises, cultural events, sea excursions, land excursions, and tours of local attractions are also on offer. Furthermore, guests can take a dip in the outdoor swimming pool and work out in the gym. They can also book themselves in for a massage treatment or play a game of tennis.

Dining in the resort's restaurant is offered with stunning views of Mount Otemanu.",,Direct dial telephone TV Minibar Ironing set Centrally regulated air conditioning Safe Room service Laundry service Currency exchange facilities Gym Bar Restaurant Massage Waterskiing Jet ski Motor board ride Diving Catamaran sailing Canoeing Tennis Hotel American Express EC JCB MasterCard Visa Bathroom Shower Bathtub Hairdryer,-16.50687981|-151.7653046,,98730,www.boraboralagoon.com
PF,French Polynesia,112456,Bora Bora,1164125,Village Temanuata,ThreeStar,Matira Beach 98730 VaitapeBora Bora ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Leopard Rays Trench - 0.2 km / 0.1 mi <br /> Motu Piti - 0.5 km / 0.3 mi <br /> Matira Point - 0.6 km / 0.4 mi <br /> Sofitel Resort Beach - 0.7 km / 0.4 mi <br /> Matira Beach - 1 km / 0.6 mi <br /> Coral Gardens - 1.4 km / 0.9 mi <br /> Nui Beach - 2 km / 1.2 mi <br /> Arc En Ciel Bora-Bora - 2.9 km / 1.8 mi <br /> Moti Piti Aau Beach - 3.1 km / 1.9 mi <br /> Pearl Resort Beach - 0.1 km / 0.1 mi <br /> Le Meridien Beach - 1.4 km / 0.9 mi <br /> White Valley - 1.4 km / 0.9 mi <br /> Mt. Hue - 5.5 km / 3.4 mi <br /> Spa Deep Ocean Bora Bora - 5.6 km / 3.5 mi <br /> Mt. Otemanu - 5.7 km / 3.5 mi <br /> </p><p>The preferred airport for Village Temanuata is Motu Mute Airport (BOB) - 15.3 km / 9.5 mi </p>,"<p>HeadLine : Near Leopard Rays Trench</p><p>Location : With a stay at Village Temanuata in Bora Bora, you ll be on the waterfront, within a 10-minute walk of Motu Piti and Matira Point.  This beach hotel is 0.6 mi (1 km) from Matira Beach and 0.9 mi (1.4 km) from Coral Gardens.</p><p>Rooms : Make yourself at home in one of the 12 individually decorated guestrooms, featuring refrigerators and microwaves. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include safes and electric kettles, and housekeeping is provided daily.</p><p>Dining : Continental breakfasts are available daily from 7 AM to 8:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and window guards</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. The front desk is open daily from 7:30 AM - 6:30 PM. To make arrangements for check-in please contact the property at least 72 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",689-40-676248,Dry cleaning/laundry service Motor boating nearby Comprehensive recycling policy Locally-owned & organized tours & activities Swimming nearby Reusable cups only Reusable tableware only Sailing nearby Scuba diving nearby Free WiFi Garden In-room accessibility (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Beach towels Boat tours nearby Airport transportation (surcharge) On private beach Energy-saving features in guest rooms LED light bulbs Wheelchair accessible  no Luggage storage Parasailing nearby Front desk (limited hours) Breakfast available (surcharge) Scooter/moped rentals nearby Library Safe-deposit box at front desk Smoke-free property Rowing or canoeing on site Laundry facilities Snorkeling on site Kayaking on site Beach sun loungers Terrace Bicycle rentals on site Concierge services,-16.540434|-151.736442,689-40677561,98730,http://www.temanuata.com
PF,French Polynesia,112456,Bora Bora,1181049,Bora Vaite Lodge,ThreeStar,Vaitape Vaitape98730 Bora Bora ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Le Meridien Beach - 4.8 km / 3 mi <br /> Pearl Resort Beach - 1.4 km / 0.9 mi <br /> Nui Beach - 1.4 km / 0.9 mi <br /> Moti Piti Aau Beach - 1.4 km / 0.9 mi <br /> Spa Deep Ocean Bora Bora - 6.8 km / 4.2 mi <br /> Arc En Ciel Bora-Bora - 9.1 km / 5.6 mi <br /> Motu Piti - 10.5 km / 6.5 mi <br /> Coral Gardens - 10.5 km / 6.5 mi <br /> Sofitel Resort Beach - 11.2 km / 7 mi <br /> Vaitape Harbor - 11.9 km / 7.4 mi <br /> Leopard Rays Trench - 12.2 km / 7.6 mi <br /> Matira Point - 12.5 km / 7.8 mi <br /> Mt. Pahia - 12.7 km / 7.9 mi <br /> Tupitipiti Point - 12.7 km / 7.9 mi <br /> Matira Beach - 12.9 km / 8 mi <br /> </p><p>The nearest major airport is Raiatea (RFP-Uturoa) - 1.5 km / 0.9 mi</p>,"<p>HeadLine : Near White Valley</p><p>Location : Located in Bora Bora, Bora Vaite Lodge is on the boardwalk, a 1-minute drive from Le Meridien Beach and 6 minutes from Spa Deep Ocean Bora Bora.  This pension is 8 mi (12.9 km) from Matira Beach and 9.3 mi (15 km) from Mt. Otemanu.</p><p>Rooms : Make yourself at home in one of the 3 guestrooms featuring microwaves. Complimentary wireless Internet access is available to keep you connected. Bathrooms have showers and complimentary toiletries. Conveniences include ceiling fans and blackout drapes/curtains.</p><p>Dining : Continental breakfasts are available daily from 7:00 AM to 9:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property only accepts cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. Guests will receive an email 48 hours before arrival with check-in instructions. Front desk staff will greet guests on arrival.</p>",689-00-000,Swimming nearby Shared microwave Free WiFi Shared refrigerator Bicycle parking available Designated smoking areas Bicycle tour information Garden Bicycle rentals nearby Boat tours nearby Beach shuttle (surcharge) Airport transportation (surcharge) Eco-friendly cleaning products provided Wheelchair accessible  no 24-hour front desk Breakfast available (surcharge) Scooter/moped rentals nearby Coffee/tea in common areas Hiking/biking trails nearby Laundry facilities Free self parking Snorkeling on site Kayaking on site Terrace,-16.474207|-151.740342,689-40-675569,98730,http://www.boravaite.com/
PF,French Polynesia,112456,Bora Bora,1196562,InterContinental Le Moana Resort Bora Bora,FourStar,Matira Point BP 156 Vaitape 156 Vaitape98730 Bora Bora ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Leopard Rays Trench - 0.3 km / 0.2 mi <br /> Motu Piti - 0.3 km / 0.2 mi <br /> Matira Point - 0.4 km / 0.2 mi <br /> Sofitel Resort Beach - 0.9 km / 0.6 mi <br /> Matira Beach - 1 km / 0.6 mi <br /> Coral Gardens - 1.6 km / 1 mi <br /> Nui Beach - 2 km / 1.3 mi <br /> Arc En Ciel Bora-Bora - 3.1 km / 1.9 mi <br /> Moti Piti Aau Beach - 3.3 km / 2.1 mi <br /> Pearl Resort Beach - 0.1 km / 0.1 mi <br /> Le Meridien Beach - 1.4 km / 0.9 mi <br /> White Valley - 1.4 km / 0.9 mi <br /> Spa Deep Ocean Bora Bora - 5.8 km / 3.6 mi <br /> Mt. Otemanu - 6.3 km / 3.9 mi <br /> Mt. Hue - 6.3 km / 3.9 mi <br /> </p><p>The nearest airports are:<br />Motu Mute Airport (BOB) - 1.4 km / 0.9 mi<br /> Raiatea (RFP-Uturoa) - 2.5 km / 1.5 mi<br /> </p><p>The preferred airport for InterContinental Le Moana Resort Bora Bora  an IHG Hotel is Motu Mute Airport (BOB). </p>,"<p>HeadLine : Near Matira Beach</p><p>Location : When you a stay at InterContinental Le Moana Resort Bora Bora, an IHG Hotel in Bora Bora, you ll be on the waterfront, within a 5-minute walk of Leopard Rays Trench and Motu Piti.  This 4-star hotel is 0.6 mi (1 km) from Matira Beach and 0.9 mi (1.4 km) from Le Meridien Beach.</p><p>Rooms : Make yourself at home in one of the 64 guestrooms featuring minibars and flat-screen televisions. Rooms have private furnished balconies or patios. Complimentary wired and wireless Internet access is available. Private bathrooms with separate bathtubs and showers feature deep soaking bathtubs and complimentary toiletries.</p><p>Dining : Enjoy international cuisine at Noa Noa, a beachfront restaurant where you can enjoy drinks at the bar/lounge, take in the pool view, and even dine alfresco. You can also stay in and take advantage of the room service (during limited hours). Quench your thirst with your favorite drink at the poolside bar. Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). To arrange pick-up, guests must contact the property 24 hours prior to arrival, using the contact information on the booking confirmation. Front desk staff will greet guests on arrival. For more details, please contact the property using the information on the booking confirmation.  Guests must arrange transfers from the Airport to the property, which is located on a motu (islet). To organize boat transfers, guests must contact the property with their flight details before their expected arrival. Guests booked in breakfast included rate plans receive breakfast for up to 2 adults who are sharing a guestroom. Breakfast fees apply for additional guests. Guests booked in dinner included rate plans receive dinner for up to 2 adults who are sharing a guestroom. Dinner fees apply for additional guests.</p>",689-40-604999,Gift shops or newsstand Dry cleaning/laundry service Proposal/romance packages available Babysitting or childcare (surcharge) Pool umbrellas Free wired Internet Sailing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 1 In-room accessibility (in select rooms) Bicycle rentals nearby Roll-in shower (in select rooms) Tours/ticket assistance Airport transportation (surcharge) On private beach Multilingual staff Parasailing nearby Breakfast available (surcharge) Laundry facilities Snorkeling on site Beach umbrellas Express check-in Windsurfing nearby Garden Wedding services Beach towels Boat tours nearby Supervised childcare/activities (surcharge) Area shuttle (surcharge) Couples/private dining Luggage storage Express check-out Porter/bellhop Billiards or pool table Business center 24-hour front desk Library Safe-deposit box at front desk Rowing or canoeing on site Hiking/biking trails nearby Surfing/bodyboarding nearby Kayaking on site Free pool cabanas Computer station Beach sun loungers Terrace Wheelchair accessible path of travel Pool sun loungers Concierge services,-16.542042|-151.73625,689-40-604900,98730,http://www.ichotelsgroup.com/intercontinental/en/gb/locations/overview/BOBPF
