countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
DK,Denmark,104692,Aakirkeby,1431680,Kanns Hotel,All,Eskildsgade 6 3720 Aakirkeby ,,"This modern hotel, located in the Bornholm island town of Aakirkeby, is 16 km from Rønne. It provides free Wi-Fi, an on-site restaurant with a furnished terrace, as well as rooms with a large flat-screen TV.

Up-to-date furnishings and a private bathroom with a shower are offered in all Kanns Hotel rooms, along with a desk.

The white sandy beaches of Boderne are 5 km away, while Bornholm Golf Club is 11 minutes drive from the hotel. Please inform Kanns Hotel in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
If you expect to arrive outside check-in hours, please inform Kanns Hotel in advance. Keys will be placed in a locked box.

At Kanns Hotel, there is an extra charge when you pay with a foreign credit card.",,Parking meeting/banquet facilities Garden Terrace Non-smoking rooms Barber/beauty shop Free parking internet services Packed lunches Heating wifi Free WiFi Non-smoking throughout shared lounge/TV area parking on site Private parking wifi available in all areas Street parking Outdoor furniture Massage chair Key access Smoke alarms Fire extinguishers linens  towels and laundry washed in accordance with local authority guidelines guest accommodation sealed after cleaning contactless check-in/check-out cashless payment available guests have the option to cancel any cleaning services for their accommodation during their stay,55.07039|14.92285,56 97 40 12,3720,https://www.booking.com/hotel/dk/kanns.html
DK,Denmark,104692,Aakirkeby,1574471,Rosengaarden,TwoStar,Bodernevej 28 3720 Aakirkeby ,,"This hostel is 5 km south of Aakirkeby, on the island of Bornholm. It offers free private parking, a large garden and a communal kitchen and living room.

All rooms at Danhostel Boderne have a private terrace and a bathroom with shower.

Free Wi-Fi is available in the guest TV lounge at Danhostel. A trampoline, outdoor chess and a childrens playground are found in the surrounding garden. Other facilities include a BBQ area.

Danhostel Boderne is only 50 metres from the nearest bus stop and 1 km from the beach. Bed linen and towels are not included. You can rent them on site or bring your own.

At Danhostel Boderne, there is an extra charge when you pay with a foreign credit card.

If you expect to arrive outside check-in hours, please inform Danhostel Boderne in advance.

Please note that the use of travel sheets and sleeping bags is not allowed.",,Free self parking Meeting rooms Bar/lounge Garden Terrace Non-smoking rooms Laundry facilities Facilities for disabled guests Family rooms Internet access Children s playground Table tennis Darts Bicycle rental (additional charge) Library Hiking BBQ facilities Packed lunches Cycling Heating Fax/photocopying Shopping on site Free WiFi Allergy-free room Free WiFi Non-smoking throughout Terrace Shared kitchen Lockers Television in common areas On private beach Parking onsite Private parking Games Children's books Indoor play area Kids  outdoor play equipment Children television networks Kid meals,55.03475|14.9157,+4556974950,3720,https://www.booking.com/hotel/dk/danhostel-boderne.html
DK,Denmark,104692,Aakirkeby,1784042,Aakirkeby Bed And Breakfast,All,Hans Rømersvej 12 3720 Aakirkeby ,,"Located in Åkirkeby, 1.1 km from Natur Bornholm and 5.1 km from The Echo Valley, Aakirkeby Bed and Breakfast provides accommodation with free WiFi and a garden with a terrace and city views.

There is a fully equipped shared bathroom with shower and a hairdryer.

A vegetarian breakfast is available daily at the bed and breakfast.

Østerlars Church is 13 km from Aakirkeby Bed and Breakfast, while Bornholm Butterfly Park is 14 km away. The nearest airport is Bornholm Airport, 11 km from the accommodation. Please inform Aakirkeby Bed and Breakfast in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Managed by a private host",,invoice provided Smoke alarms Key access Walking tours Outdoor furniture Street parking Kid-friendly buffet board games/puzzles wifi available in all areas Private check-in/check-out Sun terrace Non-smoking throughout Free WiFi wifi Heating express check-in/check-out internet services Free parking Family rooms Non-smoking rooms Terrace Garden Pets allowed Parking,55.07159|14.91836,,3720,http://aakirkebybedandbreakfast.mono.net
DK,Denmark,104692,Aakirkeby,5476415,Holiday Home Aakirkeby,ThreeStar,Poserekrogen 3  ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Dueodde Golf Course - 3.5 km / 2.2 mi <br /> Jans Keramik - 6.4 km / 4 mi <br /> Dueodde Beach - 6.4 km / 4 mi <br /> Sct. Povls Kirke - 6.6 km / 4.1 mi <br /> Bornholmertarnet - 6.9 km / 4.3 mi <br /> Ringborgen Rispebjerg - 8.5 km / 5.3 mi <br /> Sanddyner Dueodde - 8.7 km / 5.4 mi <br /> Aa Kirke - 10.7 km / 6.6 mi <br /> NaturBornholm - 11.2 km / 7 mi <br /> Helleristninger Ved Li. Strandbygaard - 11.4 km / 7.1 mi <br /> Fotogalleri Bornholm - 11.8 km / 7.3 mi <br /> Ølene Bird Sanctuary - 11.9 km / 7.4 mi <br /> Balka Beach - 12.5 km / 7.8 mi <br /> Annelise Kofoed Hansen - 13.6 km / 8.4 mi <br /> Gallery Paradise Ceramics - 13.9 km / 8.6 mi <br /> </p><p>The preferred airport for this cottage is Ronne (RNN-Bornholm) - 19.8 km / 12.3 mi </p>,"<p>HeadLine : In Akirkeby</p><p>Location : Located in Akirkeby, this cottage is within a 10-minute drive of Dueodde Golf Course and Jans Keramik.  This cottage is 4 mi (6.4 km) from Dueodde Beach and 4.1 mi (6.6 km) from Sct. Povls Kirke.</p><p>Rooms : Make yourself comfortable in this cottage, which features a fireplace and a flat-screen TV. There s a private furnished balcony/patio. A kitchen is outfitted with a full-sized refrigerator/freezer, an oven, and a stovetop. Complimentary wireless Internet access is available to keep you connected.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li>  </ul></p><p>Special Instructions : There is no front desk at this property. Guests will receive an email with check-in instructions and lockbox information prior to arrival. Guests can access their accommodation through a private entrance.</p>",45-45-71749748,Free WiFi Terrace Free self parking Wheelchair accessible  no Laundry facilities Smoke-free property Garden Upper floors accessible by stairs only Barbecue grill(s),55.005|14.982,45-45-71749748,3720,
DK,Denmark,104692,Aakirkeby,5637872,Holiday home in Aakirkeby 9,FourStar,Siegårdsvejen 2 3720 Aakirkeby Denmark Akirkeby  ,,"Located 5 km from Natur Bornholm, Three-Bedroom Holiday home in Aakirkeby 9 is in Åkirkeby and features barbecue facilities and a terrace.

The holiday home comes with 3 bedrooms, a TV and a fully equipped kitchen that provides guests with a dishwasher, a microwave, a washing machine, a fridge and a stovetop.

The nearest airport is Bornholm Airport, 15 km from the holiday home. Please note that the full amount of the reservation is due before arrival. Dancenter will send a confirmation with detailed payment information. After full payment is taken, the propertys details, including the address and where to collect keys, will be emailed to you.
Please notice there are possible extra charges regarding Gas, Electricity, and Heating.
Facilities like cleaning and bed linen are optional and require an extra charge. Please order them at least 2 weeks prior arrival via the link provided in your Dancenter confirmation.
You will receive the Dancenter voucher by e-mail. This voucher is required on the day of arrival.",,Parking all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus wifi available in all areas Non-smoking throughout Free WiFi wifi BBQ facilities internet services Free parking Terrace Pets allowed,55.0695|14.97748,,3720,https://www.booking.com/hotel/dk/three-bedroom-holiday-home-in-aakirkeby-9-aakirkeby.html
DK,Denmark,104692,Aakirkeby,6012420,Apartment Aakirkeby,All,3720. Åkirkeby  ,,"Apartment Aakirkeby, a property with a terrace and barbecue facilities, is situated in Åkirkeby, 800 metres from Natur Bornholm, 6.5 km from The Echo Valley, as well as 14 km from Bornholm Butterfly Park. This apartment is 23 km from The Sanctuary Cliffs and 32 km from Hammershus Besøgscenter.

With free WiFi, this 2-bedroom apartment features a TV and a kitchen with a fridge and dishwasher.

Østerlars Church is 15 km from the apartment, while Brændegårdshaven is 19 km from the property. The nearest airport is Bornholm Airport, 13 km from Apartment Aakirkeby. Please note that the full amount of the reservation is due before arrival. Dancenter will send a confirmation with detailed payment information. After full payment is taken, the propertys details, including the address and where to collect keys, will be emailed to you.
Please notice there are possible extra charges regarding Gas, Electricity, and Heating. Facilities like cleaning and bed linen are optional and require an extra charge. Please order them at least 2 weeks prior arrival via the link provided in your DanCenter confirmation. 
You will receive the DanCenter voucher by e-mail. This voucher is required on the day of arrival.

Please note that the full amount of the reservation is due before arrival. DanCenter will send a confirmation with detailed payment information. After full payment is taken, the propertys details, including the address and where to collect keys, will be emailed to you.

Energy costs are not included in the price and will be charged according to guest use, upon departure.",,all plates  cutlery  glasses and other tableware have been sanitized property is cleaned by professional cleaning companies shared stationery such as printed menus  magazines  pens  and paper removed staff follow all safety protocols as directed by local authorities physical distancing in dining areas guest accommodation is disinfected between stays linens  towels and laundry washed in accordance with local authority guidelines use of cleaning chemicals that are effective against coronavirus wifi available in all areas Non-smoking throughout Free WiFi wifi BBQ facilities internet services Free parking Terrace Pets allowed Parking,55.06313|14.92272,,3720,https://www.booking.com/hotel/dk/apartment-aakirkeby.html
DK,Denmark,100753,Aalbaek,1350557,Aalbæk Badehotel,ThreeStar,Skagensvej 42 9982 Ålbæk ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Simons Raalling Egnssamling - 0.1 km / 0.1 mi <br /> Fladstrand Kirke - 0.4 km / 0.3 mi <br /> Plantagen - 0.7 km / 0.4 mi <br /> Aalbaek Kirke - 0.8 km / 0.5 mi <br /> Jerup Strand - 1.3 km / 0.8 mi <br /> Farm Fun - 1.7 km / 1.1 mi <br /> Golfklubben Hvide Klit - 4.2 km / 2.6 mi <br /> Hulsig Beach - 6 km / 3.7 mi <br /> Jerup Kirke - 6.6 km / 4.1 mi <br /> Raabjerg Kirke - 6.9 km / 4.3 mi <br /> Skagen Antik Og Design - 7.6 km / 4.7 mi <br /> Hulsig Kirke - 7.9 km / 4.9 mi <br /> Kandestederne Beach - 9.7 km / 6.1 mi <br /> Sorig Church - 9.8 km / 6.1 mi <br /> Dorthe Hansen - 10.6 km / 6.6 mi <br /> </p><p>The preferred airport for Aalbæk Badehotel is Aalborg (AAL) - 90.6 km / 56.3 mi </p>,"<p>HeadLine : Near Plantagen</p><p>Location : With a stay at Aalbæk Badehotel, you ll be centrally located in Aalbaek, steps from Simons Raalling Egnssamling and within a 10-minute walk of Plantagen.  This beach hotel is 0.4 mi (0.7 km) from Aalbaek Kirke and 3.9 mi (6.3 km) from Golfklubben Hvide Klit.</p><p>Rooms : Stay in one of 59 guestrooms featuring flat-screen televisions. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Bathrooms have showers and hair dryers. Conveniences include desks and dryers, and housekeeping is provided daily.</p><p>Dining : Satisfy your appetite at Krostuen, one of the hotel s 2 restaurants. Quench your thirst with your favorite drink at the bar/lounge. A complimentary buffet breakfast is served daily from 7:30 AM to 10:00 AM.</p><p>Renovations : The property is closed between January 1 and January 27.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts major credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher and a smoke detector</li><li>Please note that cultural norms and guest policies may differ by country and by property; the policies listed are provided by the property</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:30 AM - 8:00 PM. If you are planning to arrive after 6 PM please contact the property in advance using the information on the booking confirmation. Front desk staff will greet guests on arrival.</p>",+4598488365,Terrace Pool sun loungers Conference space size (feet) - 50 Golf cart Optional golf privileges Golf clubs (equipment) Number of meeting rooms - 1 Swimming nearby Sailing nearby Free WiFi Number of bars/lounges - 1 In-room accessibility (in select rooms) Bicycle rentals nearby Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Free Buffet Breakfast Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Free breakfast Electric car charging station Daily Wheelchair-accessible meeting spaces/business center Bicycle rentals on site Motor boating nearby Mountain biking nearby Wheelchair accessible (may have limitations) Fishing nearby Wheelchair-accessible van parking Wheelchair-accessible registration desk Wheelchair-accessible public washroom Garden Stair-free path to entrance Boat tours nearby Pro shop Clubhouse Luggage storage Business center Front desk (limited hours) Playground on site Golfing nearby Safe-deposit box at front desk Smoke-free property Hiking/biking trails nearby Kayaking nearby Free self parking Conference space Hair salon,57.59411|10.41293,45-98-489022,9982,http://www.aalbak-gl-kro.dk/
DK,Denmark,100753,Aalbaek,1785913,Fru Møllers Bed & Breakfast,All,Skagensvej 39 9982 Aalbæk ,,"Located 20 minutes drive from both Skagen and Fredrikshavn, this B&B is also a 5-minute walk from the Aalbæk Train Station. It offers individually decorated guest rooms and an in-house café.

Guest rooms at Aalbæk Gl. Kro Bed & Breakfast are uniquely furnished in various styles and themes. Bathroom facilities are shared.

This property is situated in the same building as the Fru Mølles Antic Café, where antiques of all kinds are sold. Guests can enjoy a cup of coffee and light snack in the café. Traditional Danish and international cuisine are served at the restaurant across the street, which the Aalbæk Gl. Kro B&B owns.

Hvide Klit Golf Club is about 5 km away. Other area activities include swimming and fishing. Free parking is available at Aalbæk Gl. Kro. Please inform Fru Møllers Bed & Breakfast in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Please note that the check-in and key-collection take place at: Skagensvej 42, 9982  Aalbæk.
Guests arriving later than 18:00 are kindly requested to inform the property in advance. Contact details can be found on the booking confirmation. Please note that check-in after 21:00 is not possible.

Please note that this property has no reception. Guests are kindly requested to check in at Aalbæk Gl. Kro, Skagensvej 42. T

Please note that additional charges apply when paying with foreign credit cards.

Please also note that the breakfast is served at Aalbæk Gl. Kro.",,Free self parking Garden Internet access Children s playground Heating Free WiFi Free WiFi Non-smoking throughout,57.59399|10.41367,+4598489022,9982,https://www.booking.com/hotel/dk/aalba-k-gl-kro-bed.html
DK,Denmark,100753,Aalbaek,1797515,Hotel Hvideklit,ThreeStar,Hvideklitvej 15 9982 AlbaekNordjylland ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Golfklubben Hvide Klit - 0.2 km / 0.1 mi <br /> Raabjerg Mile - 2 km / 1.2 mi <br /> Hulsig Beach - 3.3 km / 2 mi <br /> Simons Raalling Egnssamling - 4.3 km / 2.7 mi <br /> Fladstrand Kirke - 4.6 km / 2.9 mi <br /> Plantagen - 4.9 km / 3 mi <br /> Hulsig Kirke - 4.9 km / 3.1 mi <br /> Aalbaek Kirke - 5 km / 3.1 mi <br /> Raabjerg Kirke - 5.5 km / 3.4 mi <br /> Jerup Strand - 7.1 km / 4.4 mi <br /> Farm Fun - 7.9 km / 4.9 mi <br /> Kandestederne Beach - 9.7 km / 6 mi <br /> Skagen Antik Og Design - 10.8 km / 6.7 mi <br /> Tannis Strand - 11 km / 6.8 mi <br /> Jerup Kirke - 12.8 km / 8 mi <br /> </p>,"<p>HeadLine : Near Golfklubben Hvide Klit</p><p>Location : Located in Aalbaek, Hotel Hvideklit is by the sea, a 1-minute drive from Golfklubben Hvide Klit and 8 minutes from Fladstrand Kirke.  This beach hotel is 4.3 mi (6.9 km) from Aalbaek Kirke and 5.3 mi (8.5 km) from Raabjerg Mile.</p><p>Rooms : Make yourself at home in one of the 26 guestrooms featuring minibars and flat-screen televisions. Rooms have private furnished balconies or patios. Complimentary wireless Internet access keeps you connected, and cable programming is available for your entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>Dining : Stop by the hotel s restaurant, Restaurant Hvideklit, for lunch or dinner. Dining is also available at the coffee shop/cafe, and room service (during limited hours) is provided. Quench your thirst with your favorite drink at the bar/lounge. Buffet breakfasts are available daily from 7 AM to 10 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 7:30 AM - 10:30 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 10 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",45-31-320002,Wheelchair accessible (may have limitations) Direct access to private beach Number of meeting rooms - 4 Wheelchair-accessible registration desk Scuba diving nearby Free WiFi Number of bars/lounges - 1 Garden Picnic area In-room accessibility (in select rooms) Wheelchair accessible parking Stair-free path to entrance Free newspapers in lobby Wedding services Tours/ticket assistance Fireplace in lobby Beach towels Golf driving range on site Wheelchair-accessible lounge Luggage storage Private beach nearby Wheelchair-accessible on-site restaurant Golf lessons available nearby Indoor tennis courts - 1 Front desk (limited hours) Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Snorkeling nearby Safe-deposit box at front desk Smoke-free property Number of coffee shops/cafes - 1 Free self parking Fitness facilities Terrace,57.62324|10.43052,45-31-320002,9982,http://www.hotelhvideklit.dk
DK,Denmark,100753,Aalbaek,5524133,Knasborg Ferieboliger,All,Vibevej 2  ,,"Located in Ålbæk in the Nordjylland region and Grenen Sandbar Spit reachable within 24 km, Knasborg Ferieboliger provides accommodation with free WiFi, BBQ facilities, a garden and free private parking.

The apartment provides guests with a terrace, city views, a seating area, satellite flat-screen TV, a fully equipped kitchen with a fridge and an oven, and a private bathroom with shower and a hairdryer. A stovetop and toaster are also provided, as well as a coffee machine and a kettle.

Hiking and fishing can be enjoyed nearby.

Voergaard Castle is 47 km from Knasborg Ferieboliger. The nearest airport is Aalborg Airport, 83 km from the accommodation. Please inform Knasborg Ferieboliger in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In the event of an early departure, the property will charge you the full amount for your stay.
This property will not accommodate hen, stag or similar parties.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
It is not possible to stay at this property for Coronavirus (COVID-19) quarantine purposes.
Managed by a private host",,first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized Key access Smoke alarms Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas Parking Golf course (within 3 km) Garden Terrace Non-smoking rooms Fishing Free parking internet services express check-in/check-out Soundproof rooms Hiking BBQ facilities Heating Fax/photocopying Luggage storage wifi Allergy-free room Free WiFi designated smoking area Sun terrace concierge service Private check-in/check-out Lockers minimarket on site Beachfront parking on site Private parking wifi available in all areas Street parking Accessible parking sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Beach temporary art galleries,57.59108|10.41342,,9982,https://www.booking.com/hotel/dk/knasborg-ferieboliger.html
