countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
PT,Portugal,100645,Abela,1024065,Vila Park,FourStar,Avenida De Sines Apartado 146 S N Vila Nova de Santo André Apartado 1467501-909 Vila Nova de Santo André ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Santo Andre Karting Track - 1.1 km / 0.7 mi <br /> Safari Badoca Park - 5 km / 3.1 mi <br /> Black Pig Alentejo Distillery - 5 km / 3.1 mi <br /> Lagoa de Santo Andre Beach - 9.3 km / 5.8 mi <br /> Praia da Aberta Nova - 9.3 km / 5.8 mi <br /> Santiago do Cacem Castle - 12.1 km / 7.5 mi <br /> Miróbriga Ruins - 14.5 km / 9 mi <br /> Sines Culture and Arts Centre - 14.9 km / 9.3 mi <br /> Vasco da Gama Statue - 15.1 km / 9.4 mi <br /> Vasco de Gama Beach - 15.4 km / 9.5 mi <br /> Lagoa de Melides - 17.2 km / 10.7 mi <br /> Sao Torpes Beach - 17.7 km / 11 mi <br /> Porto Covo Beach - 25.8 km / 16 mi <br /> Praia do Pego - 28.7 km / 17.8 mi <br /> Ilha do Pessegueiro Fort - 31.9 km / 19.8 mi <br /> </p><p>The preferred airport for Vila Park is Humberto Delgado Airport (LIS) - 148.3 km / 92.1 mi </p>,"<p>HeadLine : Near Santo Andre Karting Track</p><p>Location : Located in Santiago do Cacém, Vila Park is a 2-minute drive from Santo Andre Karting Track and 8 minutes from Black Pig Alentejo Distillery.  This 4-star hotel is 4.6 mi (7.5 km) from Safari Badoca Park and 21.1 mi (34 km) from Southwest Alentejo and Vicentine Coast Natural Park.</p><p>Rooms : Make yourself at home in one of the 79 individually decorated guestrooms. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment. Private bathrooms with shower/tub combinations feature deep soaking bathtubs and complimentary toiletries. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s room service (during limited hours). Unwind at the end of the day with a drink at the bar/lounge or the poolside bar.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Minimum Spring Break check-in age is 18 years old</li><li>This property accepts major credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property offers transfers from the airport (surcharges may apply). Guests must contact the property with arrival details before travel, using the contact information on the booking confirmation. To make arrangements for check-in please contact the property at least 48 hours before arrival using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative PCR COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 12 and up, and test must have been administered no more than 48 hours prior to check-in. COVID-19 vaccination record requirement applies to all guests aged 12 and up; guests must have received complete vaccination at least 15 days prior to check-in.</p>",351-26-9750119,Dry cleaning/laundry service Babysitting or childcare (surcharge) Pool umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 2 In-room accessibility (in select rooms) Wheelchair accessible parking Roll-in shower (in select rooms) Tours/ticket assistance Accessible bathroom (in select rooms) Airport transportation (surcharge) Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Multilingual staff Handrails in stairways Wheelchair-accessible meeting spaces/business center Laundry facilities elevator Bicycle rentals on site Wheelchair accessible (may have limitations) Wheelchair accessible Wheelchair-accessible concierge desk Express check-in Wheelchair-accessible van parking Wheelchair-accessible path to elevator Valet for wheelchair-equipped vehicle Wheelchair-accessible registration desk Wheelchair-accessible public washroom Arcade/game room Garden Free newspapers in lobby Luggage storage Express check-out Billiards or pool table 24-hour front desk Library Playground on site Safe-deposit box at front desk Snack bar/deli Hiking/biking trails nearby Children's pool Free self parking Conference space Hair salon Computer station Pool sun loungers Conference space size (feet) - 180 Concierge services,38.052713|-8.786942,351-26-9750100,7501-909,http://www.vilapark.com/vilapark2009/index.php?lang=uk
PT,Portugal,100645,Abela,1040733,Herdade Da Matinha Country House & Restaurant,All,Cercal Do Alentejo  ,,"Boasting a picturesque setting, 8 km from the beach, within the South West Alentejo and Vicentine Coast Natural Park, this guest house features an outdoor pool surrounded by sun loungers and a garden. Free WiFi is available.

Surrounded by old oak trees, Herdade da Matinha Country House & Restaurant offers elegantly decorated rooms with wooden furniture. Each of the air-conditioned rooms has a private bathroom with a hairdryer.

Guests can start the day with breakfast in the breakfast room or in the exterior area. They can also sample local specialties made with homegrown organic vegetables, as well as renowned Portuguese wines.

Cycling, horse riding and hiking are some of the activities that can be enjoyed in the surrounding area. There is also a childrens playground for the young guests. You are advised to bring your own vehicle as this property is not serviced by public transport.
This property is accessible via an unpaved road, which may be unsuitable for some vehicles.
If you require an invoice when booking a prepaid rate, please write this request and your company details in the <b>Ask a question</b> box.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Please inform Herdade da Matinha Country House & Restaurant in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
This property will not accommodate hen, stag or similar parties.
Please note that guests under 18 years old are not allowed in the Superior King Room

Reservation for 8 or more rooms are considered to be group reservation and must be confirmed by property.",00351000000000,Parking Restaurant meeting/banquet facilities Bar Garden Terrace Non-smoking rooms Laundry Family rooms Free parking internet services Safety Deposit Box Massage Windsurfing Hiking Packed lunches Cycling Heating Fax/photocopying Horse riding Luggage storage wifi Outdoor pool Free WiFi Air conditioning designated smoking area Snack Bar Sun terrace outdoor pool (all year) concierge service Special diet menus (on request) shared lounge/TV area Daily housekeeping parking on site board games/puzzles Kid meals Accessible parking Shallow end Wine/champagne Fruits sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area Outdoor fireplace Yoga classes kids' pool Swimming pool Walking tours Bike tours Smoke alarms Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available,37.80405|-8.71692,(351) 933739245,7555-231,https://www.booking.com/hotel/pt/herdade-da-matinha.html
PT,Portugal,100645,Abela,1084331,Hotel Apartamentos Al Tarik,ThreeStar,Rua Da Aberta Do Mar 7500-999 Vila Nova de Santo André ,,"Al Tarik Praia Apartamentos specialises in eco-tourism with activities including hiking and bird watching. Located 300 metres from the beach and lagoon of Santo André, it offers cultural and gastronomic tours around the region.

Overlooking a pine forest, the spacious apartments are well-equipped with a TV, a seating area and a kitchenette with a microwave. Some units will also include a balcony.

The hotels services includes a reception with concierge service from 08:00 to 20:00, as well as car and bicycle rental services. It provides free WiFi and free public parking on site.

Lagoon of Santo Andre is not far from Al Tarik Praia Apartamentos while Santo Andre town centre is a 10-minute drive away. Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
This property will not accommodate hen, stag or similar parties.
Please inform Al Tarik Praia Apartamentos in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are currently in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.",+351269708609,Facilities for disabled guests shared lounge/TV area CCTV in common areas wifi Cycling On-site parking Canoeing Restaurant Non-smoking rooms Free WiFi wifi available in all areas Bicycle rental (additional charge) Windsurfing Smoke alarms Bar Hiking Private check-in/check-out Free parking lift Non-smoking throughout Horse riding invoice provided Mini-market on site Diving Car hire Walking tours Family rooms concierge service Heating Snack Bar Tour or class about local culture Bike tours Beachfront internet services Parking,38.1131|-8.78819,351269708600,7500-011,https://www.booking.com/hotel/pt/apartamentos-al-tarik.html
PT,Portugal,100645,Abela,1168582,Pousada Quinta da Ortiga,ThreeStar,"., SANTIAGO DE CACEM ",,This charming hotel is situated in Vila Nova de Santo Andre. Pets are not allowed at this accommodation.,,Hotel,37.9885168|-8.7496284,702539644944,7540-909,
PT,Portugal,100645,Abela,1196026,Hotel Rural Monte Xisto,FourStar,Herdade Do Juncalinho - Vale Das Eguas Vale de Água7540-610 Santiago do Cacém Alentejo ,,"Located in the quiet countryside of Santiago do Cacém and 20 km from Costa Vicentina and its beaches, Hotel Rural Monte Xisto offers luxurious rooms and an apartment with private balconies overlooking the outdoor pool. Free WiFi access is provided.

Each of the air-conditioned rooms is decorated in a bright colour and comes with a satellite TV and minibar. There is a twin room prepared for guests with limited mobility. The apartment features a spacious living/dining area with a fully equipped kitchen. The private bathrooms contain free toiletries.

A fresh buffet breakfast is prepared daily and served in the elegant dining room. For dinner, the restaurante only works with pre-booking until the 14:00 of the same day. There are 2 bars offering refreshments, either beside the pool or indoors next to the open fireplace.

Massages can be arranged upon request or there are a variety of outdoor activities, including hiking trails, carting tours and an outdoor fitness circuit.

Free private parking is available on site and Beja Airport is 65 km away. Please inform Hotel Rural Monte Xisto in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property currently isnt accepting guests from certain countries, during dates where such guidelines exist.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
As a result of Coronavirus (COVID-19), this property has temporarily suspended its shuttle services.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Swimming pool #1 is closed from Sun 04 Nov 2018 until Sun 30 Dec 2018
Swimming pool #2 is closed from Sun 04 Nov 2018 until Sun 30 Dec 2018
Please note that an electric vehicle charging station is available free of charge.",00351 269 900 041,thermometers for guests provided by property face masks for guests available breakfast in the room Ironing service Free parking internet services Safety Deposit Box Massage Soundproof rooms Canoeing Hiking BBQ facilities Parking Restaurant Pets allowed Room service Bar Tennis Court Fitness centre Garden Terrace Non-smoking rooms Airport shuttle Fishing babysitting/child services Laundry Facilities for disabled guests Family rooms Games room Heated pool Salt-water pool Pool Bar Pool cover Wine/champagne Fruits airport pick up airport drop off Strollers tennis equipment Pet basket Pet bowls coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Fence around pool Back massage Neck massage Car hire Kid-friendly buffet Street parking electric vehicle charging station Accessible parking Wheelchair accessible Toilet with grab rails Higher level toilet Lower bathroom sink Emergency cord in bathroom Pool with view Cycling Heating Fax/photocopying Horse riding Luggage storage wifi Outdoor pool Free WiFi Air conditioning Snack Bar Sun terrace outdoor pool (all year) concierge service shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site wifi available in all areas board games/puzzles Kid meals contactless check-in/check-out cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered Foot massage Head massage Hand massage Full body massage Fitness kids' pool Swimming pool Shuttle service Walking tours Bike tours Themed dinner nights Live sport events (broadcast) Aerobics Security alarm Smoke alarms Fire extinguishers Swimming pool bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available,37.90517|-8.64279,(351) 269900040,7540-610,https://www.booking.com/hotel/pt/rural-monte-xisto.html
PT,Portugal,100645,Abela,1205638,Hotel Rural Monte Da Leziria,ThreeStar,Monte Da Leziria  ,,"Set among pine groves, Monte de Leziria offers modern accommodation in Portugals Alentejo. It provides the possibility to explore the surrounding countryside and the nearby beaches thanks to on-site bike rental.

Facilities such as tennis courts, horse riding and hiking trails are available in the hotel or in the surrounding area and may be purchased with the front desk. Massage treatments and diving equipment to discover local Porto Covo Beach and the Lagoa de Santo André Lagoon are also available for purchase with the front desk.

Opening out onto private furnished balconies, rooms at Hotel Rural Monte da Leziria overlook the hotels gardens. They are fitted with cable TV channels and an intimate lounge area.

Guests can enjoy a large buffet breakfast served daily in the dining hall of the hotel. Wi-Fi access is free in all public areas and free parking is also available. Please inform Hotel Rural Monte da Leziria in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Due to Coronavirus (COVID-19), this property has reduced reception and service operating hours.
Due to Coronavirus (COVID-19), wearing a face mask is mandatory in all indoor common areas.
Please note that cots can only be used by children under the age of 3. Extra beds are only possible for children under 12 years of age.

Please note that late check-in after 00:00 has a surcharge.",351-269-084-877,Parking Bar Tennis Court Garden Terrace Non-smoking rooms Laundry Facilities for disabled guests Family rooms Ironing service Free parking internet services children's playground Soundproof rooms Canoeing Hiking Car hire Cycling Tour desk Heating Fax/photocopying Horse riding wifi Outdoor pool Free WiFi Air conditioning designated smoking area Sun terrace outdoor pool (all year) shared lounge/TV area Daily housekeeping parking on site Private parking wifi available in all areas board games/puzzles kids' outdoor play equipment Kid-friendly buffet Wheelchair accessible Toilet with grab rails Lower bathroom sink Emergency cord in bathroom Shallow end Wine/champagne Fruits coffee house on site sun loungers or beach chairs Sun umbrellas Outdoor furniture Picnic area kids' pool Swimming pool Beach Walking tours Bike tours Security alarm Smoke alarms CCTV in common areas Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered thermometers for guests provided by property face masks for guests available,38.06756|-8.78216,(351) 269084935,7500-120,https://www.booking.com/hotel/pt/hotelruralmontedaleziria.html
PT,Portugal,100645,Abela,1220714,Hotel Dom Nuno,ThreeStar,Avenida Dom Nuno Álvares Pereira 90 7540 Santiago do Cacém ,,"Located in the centre of Santiago do Cacém, Hotel D. Nuno offers views of the Castle and the Parochial church. It features spacious rooms, an outdoor pool, and free Wi-Fi.

Hotel D.Nuno has modern rooms, with wooden furniture and some with parquet floors. Each of the air-conditioned rooms has a flat-screen satellite TV, an electric kettle, and slippers.

A breakfast bag is delivered at the guests room, every morning and the bar offers refreshing drinks and views of the Castle and the Parochial church.

Guests can sit in the comfortable living room, where they can read a book, or watch television. They can also relax on the sun loungers by the pool, or visit the games room.

Lisbon Portela Airport is 140 km away, and the hotel offers free private parking on site. A car rental service is also available. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Food & beverage services at this property may be limited or unavailable due to Coronavirus (COVID-19).
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
In accordance with government guidelines to minimise transmission of the Coronavirus (COVID-19), this property may request additional documentation from guests to validate identity, travel itinerary and other relevant information, during dates where such guidelines exist.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Fitness centre is closed from Thu 13 May 2021 until Mon 31 May 2021
Swimming pool #1 is closed from Fri 01 Oct 2021 until Tue 31 May 2022
Please note that access to the Spa is not permitted to children under 16 years old.

Please note that the Spa is seasonal and is only available from May until October.",00351269823328,Parking meeting/banquet facilities Bar 24-hour front desk Fitness centre Terrace Non-smoking rooms Laundry dry cleaning Facilities for disabled guests Family rooms Games room Ironing service Free parking internet services lift Safety Deposit Box Billiards Car hire Heating Fax/photocopying Luggage storage wifi Allergy-free room Outdoor pool Free WiFi Non-smoking throughout Air conditioning designated smoking area Sun terrace outdoor pool (seasonal) shared lounge/TV area parking on site Private parking wifi available in all areas Swimming pool toys board games/puzzles Indoor play area secured parking Parking garage Accessible parking Wheelchair accessible Shallow end sun loungers or beach chairs Outdoor furniture Fence around pool Swimming pool 24-hour security Security alarm Smoke alarms Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas contactless check-in/check-out cashless payment available physical distancing rules followed screens or physical barriers placed between staff and guests in appropriate areas all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay delivered food is securely covered,38.01111|-8.69348,0035126982332500351269823325,7540-103,https://www.booking.com/hotel/pt/albergaria-d-nuno.html
PT,Portugal,100645,Abela,1224099,Monte do Giestal,ThreeStar,BRIC 801  Cova do Gato 7540-031 AbelaSantiago do Cacém ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Sao Jorge Chapel - 13.6 km / 8.5 mi <br /> Lousal Mining Museum - 14.1 km / 8.7 mi <br /> Lousal Megalithic Monument - 15.1 km / 9.4 mi <br /> Santiago do Cacem Castle - 18.9 km / 11.8 mi <br /> Miróbriga Ruins - 19.4 km / 12.1 mi <br /> Black Pig Alentejo Distillery - 24.4 km / 15.2 mi <br /> Safari Badoca Park - 24.5 km / 15.2 mi <br /> Santo Andre Karting Track - 32.5 km / 20.2 mi <br /> Sines Culture and Arts Centre - 36.3 km / 22.5 mi <br /> Vasco da Gama Statue - 36.5 km / 22.7 mi <br /> Cercal Touism Information Centre - 37.1 km / 23 mi <br /> Jardim do Largo Augusto Fuschino - 37.5 km / 23.3 mi <br /> Junta de Freguesia de Cercal Do Alentejo - 37.7 km / 23.4 mi <br /> Vasco de Gama Beach - 39 km / 24.3 mi <br /> Lagoa de Melides - 39.2 km / 24.4 mi <br /> </p><p>The preferred airport for Monte do Giestal - Casas de Campo and Spa is Humberto Delgado Airport (LIS) - 147.2 km / 91.5 mi </p>,"<p>HeadLine : Near the boardwalk</p><p>Location : With a stay at Monte do Giestal - Casas de Campo and Spa in Santiago do Cacém, you ll be 8.7 mi (14.1 km) from Lousal Mining Museum and 15.2 mi (24.5 km) from Safari Badoca Park.  This family-friendly villa is 24.4 mi (39.2 km) from Sao Torpes Beach and 26.2 mi (42.2 km) from Southwest Alentejo and Vicentine Coast Natural Park.</p><p>Rooms : Treat yourself to a stay in one of the 10 individually decorated guestrooms, featuring fireplaces and flat-screen televisions. Rooms have private balconies or patios. Kitchens are outfitted with refrigerators, ovens, and stovetops. Complimentary wireless Internet access keeps you connected, and satellite programming is available for your entertainment.</p><p>Dining : Grab a bite from the snack bar/deli, or stay in and take advantage of the villa s room service. Relax with a refreshing drink from the bar/lounge or one of the 2 beach bars. A complimentary continental breakfast is served daily from 9 AM to 11:30 AM.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards</li><li>Safety features at this property include a fire extinguisher, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : The front desk is open daily from 9:00 AM - 8:30 PM. To make arrangements for check-in please contact the property at least 24 hours before arrival using the information on the booking confirmation. If you are planning to arrive after 8:00 PM please contact the property in advance using the information on the booking confirmation. Guests must contact the property in advance for check-in instructions. Front desk staff will greet guests on arrival.</p>",351-269-902068,Outdoor tennis courts - 1 Multilingual staff Daily Laundry facilities Fitness facilities Bicycle rentals on site Banquet hall Ballroom Reception hall Arcade/game room Spa treatment room(s) Hiking/biking trails on site Garden Picnic area Full-service spa Wedding services Beach towels Cave exploring/spelunking nearby Private picnics Couples/private dining Wheelchair accessible  no Luggage storage Grocery/convenience store Billiards or pool table Front desk (limited hours) Scooter/moped rentals nearby Playground on site Spa services on site Smoke-free property Snack bar/deli Children's pool Free self parking Terrace ATM/banking Pool sun loungers Concierge services Proposal/romance packages available Babysitting or childcare (surcharge) Ziplining nearby Pool umbrellas Number of meeting rooms - 1 Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Number of beach bars - 2 Number of indoor pools - 1 Tours/ticket assistance Fireplace in lobby Free continental breakfast Airport transportation (surcharge) Free breakfast,38.011978|-8.506306,+351269902068,7540-031,http://www.montedogiestal.com
PT,Portugal,100645,Abela,1327673,OCTANT SANTIAGO (EX-SANTIAGO HOTEL COOKING AND NATURE),FourStar,Rua Cidade De Beja 7540-122 Santiago do Cacém ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Miróbriga Ruins - 0.9 km / 0.6 mi <br /> Santiago do Cacem Castle - 1.1 km / 0.7 mi <br /> Black Pig Alentejo Distillery - 6.7 km / 4.2 mi <br /> Safari Badoca Park - 7 km / 4.3 mi <br /> Santo Andre Karting Track - 13.6 km / 8.4 mi <br /> Praia da Aberta Nova - 17.8 km / 11.1 mi <br /> Lagoa de Santo Andre Beach - 18.5 km / 11.5 mi <br /> Sines Culture and Arts Centre - 18.6 km / 11.5 mi <br /> Vasco da Gama Statue - 18.8 km / 11.7 mi <br /> Vasco de Gama Beach - 18.9 km / 11.8 mi <br /> Sao Torpes Beach - 21.1 km / 13.1 mi <br /> Lagoa de Melides - 21.6 km / 13.4 mi <br /> Jardim do Largo Augusto Fuschino - 28.9 km / 18 mi <br /> Porto Covo Beach - 29.2 km / 18.1 mi <br /> Sao Jorge Chapel - 29.2 km / 18.2 mi <br /> </p><p>The preferred airport for Octant Santiago is Humberto Delgado Airport (LIS) - 140.4 km / 87.2 mi </p>,"<p>HeadLine : Near Santiago do Cacem Castle</p><p>Location : A stay at Octant Santiago places you in the heart of Santiago do Cacém, within a 15-minute walk of Miróbriga Ruins and Santiago do Cacem Castle.  This 4-star hotel is 4.3 mi (7 km) from Safari Badoca Park and 18.5 mi (29.8 km) from Southwest Alentejo and Vicentine Coast Natural Park.</p><p>Rooms : Make yourself at home in one of the 32 guestrooms featuring minibars and flat-screen televisions. Rooms have private balconies. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with shower/tub combinations feature complimentary toiletries and hair dryers.</p><p>Dining : At Octant Santiago, enjoy a satisfying meal at the restaurant. Wrap up your day with a drink at the bar/lounge. A complimentary buffet breakfast is served daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and debit cards; cash is not accepted</li><li>Safety features at this property include a fire extinguisher, a smoke detector, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",351-93-0420311,Food and water bowls Reception hall Number of meeting rooms - 1 Sailing nearby Windsurfing nearby Scuba diving nearby Free WiFi Number of bars/lounges - 1 Number of outdoor pools - 1 Garden In-room accessibility (in select rooms) Free Buffet Breakfast Luggage storage Free breakfast 24-hour front desk Daily Safe-deposit box at front desk Smoke-free property Surfing/bodyboarding nearby elevator Kayaking nearby Free self parking Fitness facilities Terrace Concierge services,38.017005|-8.68967,351-351-911797395,7540-122,http://www.santiagohotel.pt/home
PT,Portugal,100645,Abela,1352254,Hotel De Charme Os Dois Galos,All,Vila Deixa O Resto Caixa Postal 15007500-018 Santo André ,,"This small and rural hotel features spacious and colourful rooms. The Lagoa de Santo André Beach is 4 km away.

Equipped with a TV, all rooms at Casa Deixa-O-Resto Guesthouse have access to coffee-and-tea-making facilities. The rooms have a private bathroom that matches the bedroom in colour and style.

Guests can relax by the Pool Bar with a cocktail or settle down under the shade of a palm by the pool. The lounge bar has comfy sofas and chairs

Breakfast is served in the restaurant, or on 1 of the partly shaded terraces. For dinner or lunch, there are 3 local restaurants within 100 metres from the property.

Lisbon Airport is a 1.5-hour drive away, while Faro Airport can be reached in a 2-hour drive. Please inform Casa Deixa-O-Resto Guesthouse in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Zwembad #1 is closed from Sun 01 Oct 2023 until Mon 01 Apr 2024
Please note that the full reservation amount will be charged upon arrival.",,Parking Pets allowed Bar Garden Terrace Non-smoking rooms Fishing Laundry Family rooms Ironing service Free parking internet services Valet parking Hiking Cycling Heating Fax/photocopying Horse riding Luggage storage wifi Outdoor pool Free WiFi Non-smoking throughout designated smoking area outdoor pool (seasonal) Private check-in/check-out shared lounge/TV area Daily housekeeping parking on site Private parking Swimming pool toys board games/puzzles Kid meals Kid-friendly buffet Street parking Pool Bar Shallow end Wine/champagne Fruits Badminton equipment coffee house on site Outdoor furniture Swimming pool Walking tours Key access Smoke alarms Fire extinguishers Swimming pool use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays physical distancing in dining areas staff follow all safety protocols as directed by local authorities first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay,38.06955|-8.74458,+351269746234,7500-018,https://www.booking.com/hotel/pt/os-dois-galos-de-twee-hanen.html
