countyCode,countyName,cityCode,cityName,HotelCode,HotelName,HotelRating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
RO,Romania,101614,Adjud,1421868,Hotel Adial,ThreeStar,Str Republicii Nr. 1 625100 Adjud ,,"Hotel Adial is located on the central boulevard in Adjud and offers a restaurant serving Romanian cuisine, as well as a terrace and a playground with a swing and a slide. Free WiFi is provided.

All rooms are fitted with a flat-screen cable TV, a seating area, wooden floors and a bathroom with free toiletries and a shower. Some rooms feature free air conditioning, while others have it available for a surcharge.

A la carte breakfast is available on request. Drinks are served at the on-site bar.

The Mausoleum of Marasesti is within 20 km and the Bogdana Monastery is 15 km away. The hotel offers a private parking with 30 places.",,invoice provided Parking Restaurant Bar 24-hour front desk Garden Terrace Non-smoking rooms Family rooms Free parking internet services Packed lunches Heating Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning designated smoking area Snack Bar Sun terrace parking on site Private parking wifi available in all areas secured parking coffee house on site Outdoor furniture Picnic area 24-hour security Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers,46.08925|27.18975,+40237645305,625100,https://www.booking.com/hotel/ro/adial.html
RO,Romania,100084,Alba Iulia,1105371,Hotel Hermes,ThreeStar,Str. Toporasilor Nr.20 510207 Alba Iulia ,,"Located in the Cetate district of Alba Iulia, Hotel Hermes offers spacious rooms just 10 minutes walk from the fortified Alba Carolina centre. It features a restaurant and games room.

All en suite rooms have red carpeting, providing them with a warm ambiance. Each unit is equipped with heating, cable TV, free Wi-Fi and a minibar.

Each morning, a breakfast made of local ingredients is served at the hotels restaurant. In the evening, it offers a variety of Transylvanian and international meals, as well as beverages from its bar.

Guests can play billiards in Hotel Hermess games room. The reception desk is available 24/7 for room service or for organising transport to nearby sites of interest.

Hermes Hotel is located at the roundabout between the Military College and the Stadium. Free parking is available on site.",+40(0)0358814196,guests have the option to cancel any cleaning services for their accommodation during their stay breakfast takeaway containers delivered food is securely covered face masks for guests available Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Non-smoking rooms Family rooms breakfast in the room Free parking internet services express check-in/check-out Safety Deposit Box Currency exchange Billiards Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout Air conditioning shuttle service (additional charge) parking on site Private parking wifi available in all areas coffee house on site Shuttle service Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas first aid kit available cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized,46.07539|23.55927,+40721437637,510134,https://www.booking.com/hotel/ro/hermes.html
RO,Romania,100084,Alba Iulia,1105374,Perla Muresului,ThreeStar,Biruntei 510034 Alba Iulia ,,"Located close to the south bank of the River Mures, Pensiunea Perla Muresului features free Wi-Fi and a restaurant serving traditional Romanian cuisine. Guestrooms have a private bathroom and TV.

Free private parking and a 24-hour reception desk are also offered at Pensiunea Perla Muresului. Guests can relax with a refreshing beverage on the hotels terrace.

Alba Iulia city centre is a 5-minute drive from Perla Muresului where many shops and bars can be found.",,Parking Restaurant Pets allowed Room service meeting/banquet facilities 24-hour front desk Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Fishing Laundry Family rooms breakfast in the room Ironing service Free parking internet services Hiking Packed lunches Cycling Heating Fax/photocopying Luggage storage wifi Free WiFi designated smoking area Sun terrace concierge service Private check-in/check-out shuttle service (additional charge) Special diet menus (on request) airport shuttle (additional charge) shared lounge/TV area Daily housekeeping parking on site Private parking Wine/champagne Fruits airport pick up airport drop off coffee house on site Outdoor furniture Picnic area Shuttle service Pub crawls Walking tours Themed dinner nights Live sport events (broadcast) Key access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers invoice provided,46.03729|23.56245,40 724 578 704,510034,https://www.booking.com/hotel/ro/pensiunea-perla-muresului.html
RO,Romania,100084,Alba Iulia,1147397,La Maison de Caroline,FourStar,Strada Primaverii Nr.11 501010 Alba Iulia ,,"Situated in the historic centre of Alba Iulia, La Maison de Caroline is housed in a 19th century building. The Citadel of Alba Carolina is 600 metres away, while the Train Station is 1.8 km away.

All units come with LCD TV, private bathroom with shower and free toiletries, as well as with carpeted floors. Some rooms also feature air conditioning.

You can take advantage of the concierge service offered by La Maison de Caroline, where the personnel will be happy to assist you with making reservation. For your relaxation, you can also book a massage session.

Guests can start their day with a buffet breakfast every morning and relax in the lounge area of the Maison de Caroline. A garden with terrace is provided as well.

The nearest local bus stop is 100 metres away from the property. Sibiu International Airport is 73.5 km away. Restaurant is closed from Mon 14 Jan 2019 until Wed 01 May 2019
La Maison de Caroline is closed from Mon 02 May 2022 until Sun 22 May 2022
Bar is closed from Mon 02 May 2022 until Sun 22 May 2022
Please note that on outdated GPS maps you have to use the following address: Str. Rubin Patitia, 11.

Please note that pet are accepted only upon request and if confirmed by the property.",0358 816 413,Key card access Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers Restaurant Bar 24-hour front desk Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle dry cleaning internet services Safety Deposit Box Heating Fax/photocopying wifi Free WiFi Air conditioning designated smoking area Sun terrace concierge service airport shuttle (additional charge) Daily housekeeping wifi available in all areas Wine/champagne coffee house on site Outdoor furniture,46.06994|23.5838,0752 624 766,501010,https://www.booking.com/hotel/ro/la-maison-de-caroline.html
RO,Romania,100084,Alba Iulia,1170182,Casa Traiana,ThreeStar,St. Ariesuluinr 49 A 510178 Alba IuliaJudet alba ,,"Only a 15-minute walk away from the Fortress of Alba Iulia, Casa Traiana offers a restaurant with a terrace, serving Romanian and international dishes.

Rooms here have soundproofed windows, cable TV and telephone. All are fitted with a minibar, and toiletries are provided in the bathroom.

Free Wi-Fi is also available at Hotel Casa Traiana. Cars can be rented at the 24-hour reception, and the distance to Sibiu Airport is about 70 km. In response to Coronavirus (COVID-19), additional safety and sanitation measures are in effect at this property.
Due to Coronavirus (COVID-19), this property is taking steps to help protect the safety of guests and staff. Certain services and amenities may be reduced or unavailable as a result.
Spa and gym facilities at this property are unavailable due to Coronavirus (COVID-19).
Please note that the GPS address is: Str. Stefan Manciulea 49A, Alba Iulia.

Please note that the property accepts holiday vouchers issued by Romanian companies, as a payment method.",+40(0)258817387,first aid kit available cashless payment available physical distancing rules followed Parking Restaurant meeting/banquet facilities Bar 24-hour front desk Garden Terrace Non-smoking rooms Family rooms Free parking internet services Soundproof rooms Packed lunches Heating Fax/photocopying wifi Free WiFi Non-smoking throughout Air conditioning Sun terrace shuttle service (additional charge) Special diet menus (on request) parking on site Private parking wifi available in all areas Kid meals Wine/champagne coffee house on site Shuttle service use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays guest accommodation sealed after cleaning physical distancing in dining areas food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas process in place to check health of guests thermometers for guests provided by property delivered food is securely covered breakfast takeaway containers guests have the option to cancel any cleaning services for their accommodation during their stay all plates  cutlery  glasses and other tableware have been sanitized invoice provided,46.08625|23.58332,+40258817357,510178,https://www.booking.com/hotel/ro/casa-traiana.html
RO,Romania,100084,Alba Iulia,1170183,Pensiunea Neptun,ThreeStar,Iasilor 95 510141 Alba Iulia ,,"Located 100 metres from the train station in Alba Iulia, Pensiunea Neptun features air-conditioned rooms with a balcony and free Wi-Fi in all areas. A restaurant with a bar is on site as well.

All accommodation units are equipped with a TV, minibar and 2 arm chairs. Each unit comprises a private bathroom with a shower.

Transylvanian cuisine is served on-site. Additional facilities include a courtyard with a garden and childrens playground.

Pensiunea Neptun is 2 km from the ruins of Roman Castrum of Apulum, the Romanian Orthodox Cathedral and the Union Museum. Private parking is possible on site for free.",,Free self parking Terrace Internet access Children s playground Heating Luggage storage Free WiFi Free WiFi Air conditioning Parking onsite Private parking,46.05756|23.57651,+4075634437,510141,https://www.booking.com/hotel/ro/pensiunea-neptun.html
RO,Romania,100084,Alba Iulia,1252864,Pensiunea MA,ThreeStar,Str.Ariesului Nr.51 Alba Iulia ,,"Located in Alba Iulia, Pensiunea MA features a restaurant with a terrace and air-conditioned rooms with cable TV and a minibar. Free WiFi is available.

All rooms are decorated in warm colours with floral and romantic motifs. They include a private bathroom fitted with a shower and a hairdryer. A buffet breakfast is served each morning.

The MA Pensiunea features a childrens playground. The centre of Alba Iulia is 1 km away, while the citys main points of interest are all reachable within 2 km.

Private parking is possible on site for free. A bus stop is 300 metres away, and the train station is 3 km away.",40-258-831502,Free self parking Restaurant Pets allowed Meeting rooms Bar/lounge Garden Terrace Non-smoking rooms Laundry facilities Family rooms Ironing service Bridal suite Internet access Safe-deposit box at front desk Currency exchange Packed lunches Heating Luggage storage Free WiFi Free WiFi Air conditioning Designated smoking areas Terrace Daily housekeeping Parking onsite,46.08618|23.58409,+381600100842,510178,https://www.booking.com/hotel/ro/pensiunea-ma.html
RO,Romania,100084,Alba Iulia,1254500,Hotel Cetate Imparatul Romanilor,ThreeStar,Str.Unirii Nr.3  ,,"Situated in Alba Iulias centre, Hotel Cetate Imparatul Romanilor offers free guarded parking and free Wi-Fi. It has a spacious restaurant serving traditional Romanian cuisine as well as international dishes.

The rooms and suites are equipped with cable TV and minibars. They have carpeted floors and antique-style, elegant furniture.

At the richly decorated reception of the Imparatul Romanilor a transfer to and from Sibiu Airport as well as tickets to numerous cultural events in Alba Iulia can be organised.

Free parking is available. A train station can be reached within 2 km.",0258 815 812,Parking Restaurant Room service meeting/banquet facilities Bar 24-hour front desk Terrace Non-smoking rooms Laundry Family rooms Free parking internet services lift Safety Deposit Box Fax/photocopying Luggage storage wifi Free WiFi Air conditioning designated smoking area Daily housekeeping Private parking wifi available in all areas Street parking Key access Security alarm Smoke alarms CCTV in common areas CCTV outside property Fire extinguishers staff follow all safety protocols as directed by local authorities shared stationery such as printed menus  magazines  pens  and paper removed hand sanitizer in guest accommodation and key areas process in place to check health of guests first aid kit available contactless check-in/check-out cashless payment available physical distancing rules followed thermometers for guests provided by property face masks for guests available,46.0706|23.5657,40-258-811780,510009,https://www.booking.com/hotel/ro/cetate-imparatul-romanilor.html
RO,Romania,100084,Alba Iulia,1363512,Hotel Transilvania,FourStar,P Ta Iuliu Maniu Nr. 11 510092 Alba IuliaJudet Alba ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Orthodox Church - 1.2 km / 0.7 mi <br /> Sala Unirii - 1.3 km / 0.8 mi <br /> Alba Lulia Citadel - 1.4 km / 0.8 mi <br /> Catholic Cathedral - 1.4 km / 0.9 mi <br /> Orthodox Cathedral - 1.5 km / 0.9 mi <br /> Unification Museum - 1.5 km / 0.9 mi <br /> Framm s - 1.6 km / 1 mi <br /> Roman Castrum Ruins - 2 km / 1.2 mi <br /> Cascada Pisoaia - 3.8 km / 2.4 mi <br /> Bethlen Gabor Kollegium - 30.5 km / 18.9 mi <br /> Ratesti Monastery - 30.9 km / 19.2 mi <br /> Arsenal Park - 50.4 km / 31.3 mi <br /> </p><p>The preferred airport for Hotel Transilvania is Sibiu (SBZ) - 72.5 km / 45 mi </p>,"<p>HeadLine : Near Alba Lulia Citadel</p><p>Location : Located in Alba Iulia, Hotel Transilvania is within a 5-minute drive of Roman Castrum Ruins and Orthodox Church.  This 4-star hotel is 1.2 mi (2 km) from Orthodox Cathedral and 1.4 mi (2.2 km) from Framm s.</p><p>Rooms : Make yourself at home in one of the 80 guestrooms featuring minibars and LED televisions. Complimentary wired and wireless Internet access keeps you connected, and cable programming provides entertainment. Private bathrooms with showers feature complimentary toiletries and hair dryers. Conveniences include safes, housekeeping is provided daily, and irons/ironing boards can be requested.</p><p>Dining : Satisfy your appetite for lunch or dinner at the hotel s restaurant, or stay in and take advantage of the room service (during limited hours). Relax with a refreshing drink at one of the 2 bars/lounges. Continental breakfasts are served on weekdays from 7:00 AM to 10:00 AM and on weekends from 8:00 AM to 11:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts credit cards; cash is not accepted</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",40-358-403199,Dry cleaning/laundry service Uncovered parking Express check-in Meeting rooms Free wired Internet Free WiFi Number of bars/lounges - 2 Designated smoking areas In-room accessibility (in select rooms) Free newspapers in lobby Tours/ticket assistance Airport transportation (surcharge) Off-street parking Wheelchair accessible  no Luggage storage Multilingual staff Business center 24-hour front desk Conference center Breakfast available (surcharge) Safe-deposit box at front desk Laundry facilities elevator Self parking (surcharge) Hair salon Computer station Terrace Bicycle rentals on site Concierge services,46.071526|23.5824,40258812052,510094,http://www.unita-turism.ro/en/hotel/alba
RO,Romania,100084,Alba Iulia,1367323,Pension Marylou,FourStar,Lalelelor Nr.18 510217 Alba Iulia ,,"Situated in a residential area, Pensiunea Marylou offers spacious rooms with free WiFi, just 1.2 km away from Alba Iulias historic area and the Roman Catholic Cathedral.

The air-conditioned rooms of Marylou Pension are decorated with classical wooden furniture. All rooms have a seating area with a sofa, a work desk, and a private bathroom with a bathtub, bathrobes, slippers and free toiletries.

Guests can start their day with a breakfast at Pensiunea Marylous restaurant.

Pensiunea Marylou also offers a sauna, laundry facilities, car rental, and an airport shuttle for a surcharge. Free private parking is available on site.

Alba Iulias historic area is a 15-minute walk from Pensiunea Marylou, and features the Batthyaneum Library, the Orthodox Cathedral, Union Hall, Apor Palace, and the Princely Palace. Please inform Pensiunea Marylou in advance of your expected arrival time. You can use the Special Requests box when booking, or contact the property directly with the contact details provided in your confirmation.
Guests are required to show a photo identification and credit card upon check-in. Please note that all Special Requests are subject to availability and additional charges may apply.
If you require an invoice when booking a prepaid rate, please write this request and your company details in the <b>Ask a question</b> box.
Parking is subject to availability due to limited spaces.
This property is located in a residential area and guests are asked to refrain from excessive noise.
This property will not accommodate hen, stag or similar parties.
Please note extra bed rates vary according to season. If arriving with children, please inform the property in advance about their number and respective ages. You can use the Special Requests box when booking or contact the property.",004 0358 116 824,Air conditioning designated smoking area Sun terrace concierge service Private check-in/check-out shuttle service (additional charge) airport shuttle (additional charge) Parking meeting/banquet facilities Sauna Golf course (within 3 km) Garden Terrace Non-smoking rooms Airport shuttle Laundry Family rooms breakfast in the room Ironing service Free parking internet services Car hire Heating Fax/photocopying Luggage storage wifi Free WiFi Non-smoking throughout cashless payment available physical distancing rules followed invoice provided all plates  cutlery  glasses and other tableware have been sanitized guests have the option to cancel any cleaning services for their accommodation during their stay Daily housekeeping parking on site Private parking wifi available in all areas Kid-friendly buffet secured parking Accessible parking airport pick up airport drop off Shuttle service bicycle rental use of cleaning chemicals that are effective against coronavirus linens  towels and laundry washed in accordance with local authority guidelines guest accommodation is disinfected between stays food can be delivered to guest accommodation staff follow all safety protocols as directed by local authorities hand sanitizer in guest accommodation and key areas,46.06474|23.55713,+40358116824,510217,https://www.booking.com/hotel/ro/pensiunea-marylou.html
